transaction_id,account_id,customer_id,transaction_type,transaction_amount,transaction_channel,transaction_status,transaction_date
109.0,595,324,Deposit,4792537.69,MOBILE BANKING,,2024-06-19 02:09:55
110.0,68,512,,2625506.63,ATM,,2025-01-04 10:38:26
111.0,675,105,Transfer,3652125.12,,Successful,2026-03-17 01:25:11
112.0,614,481,Withdrawal,209742.18,POS,Failed,2026-04-30 15:44:44
113.0,3,486,Deposit,1743868.4,POS,,2025-04-15 01:41:22
114.0,644,54,Withdrawal,1520721.81,ATM,,2026-04-09 05:23:08
115.0,580,30,Transfer,2289070.89,,Successful,2024-08-26 06:03:20
116.0,490,312,,206544.84,MOBILE BANKING,Successful,2025-08-17 08:40:29
117.0,727,62,Deposit,135059.1,ATM,Failed,2026-01-14 10:06:34
118.0,391,232,,4897029.41,MOBILE BANKING,Successful,2025-08-05 02:36:49
119.0,798,104,Deposit,2185511.97,POS,Failed,2025-09-15 04:55:08
120.0,460,180,,4809655.29,MOBILE BANKING,Failed,2025-09-13 14:19:22
,278,505,Deposit,4680596.37,ATM,Successful,2024-06-02 18:43:01
122.0,561,66,Withdrawal,1634155.89,ATM,,2025-08-28 14:28:56
123.0,311,555,Deposit,2893661.43,ATM,,2026-05-04 08:47:35
124.0,147,499,Deposit,1068168.83,ATM,Failed,2024-11-28 23:45:17
125.0,2,56,Withdrawal,469895.51,ATM,,2026-02-20 22:16:53
126.0,336,133,Deposit,1553952.26,POS,Successful,2025-12-22 09:58:28
127.0,581,459,Withdrawal,4025188.34,,Successful,2025-04-03 17:58:55
128.0,381,156,Deposit,3467293.17,ATM,Successful,2024-12-19 19:23:28
129.0,314,7,Withdrawal,1601648.47,MOBILE BANKING,,2025-01-07 16:22:14
130.0,554,164,Transfer,514698.75,MOBILE BANKING,,2025-12-26 07:19:58
131.0,166,213,Deposit,4662217.39,ATM,Successful,2025-11-08 01:31:01
132.0,411,86,Deposit,1219189.37,ATM,,2026-02-21 10:08:18
133.0,120,32,Transfer,1690074.94,ATM,,2025-01-30 01:46:53
134.0,465,545,Withdrawal,3490956.32,ATM,,2025-05-11 21:05:33
135.0,429,289,Withdrawal,3690748.9,ATM,,2025-05-25 20:51:29
136.0,290,193,Transfer,1504496.26,,Successful,2024-10-13 17:34:49
137.0,461,65,,2208937.1,POS,Failed,2025-05-05 00:29:03
138.0,405,106,Deposit,2499948.86,ATM,,2024-07-31 15:58:23
139.0,7,493,Transfer,4175854.79,MOBILE BANKING,,2025-05-20 18:38:27
140.0,571,87,Transfer,3293567.69,MOBILE BANKING,,2025-05-29 09:45:28
141.0,295,333,Transfer,4148885.12,MOBILE BANKING,,2024-12-19 01:19:39
142.0,637,143,Deposit,4603860.06,,Successful,2025-08-15 10:12:51
143.0,26,282,,4093805.67,MOBILE BANKING,Successful,2026-02-09 11:05:35
144.0,21,480,Transfer,3636780.15,ATM,Successful,2026-01-06 14:21:19
145.0,227,318,Transfer,998002.75,MOBILE BANKING,,2026-01-22 06:36:27
146.0,375,399,Deposit,1113471.01,MOBILE BANKING,Successful,2024-07-25 23:36:58
147.0,458,424,Withdrawal,2843301.68,ATM,Successful,2025-06-28 19:47:25
148.0,606,520,,4952122.2,MOBILE BANKING,Failed,2025-09-06 12:46:50
149.0,506,457,Deposit,4896078.39,,Successful,2024-09-06 19:15:44
150.0,163,58,Withdrawal,1476095.54,ATM,Successful,2025-05-10 07:25:34
151.0,800,306,Transfer,4499166.99,POS,Successful,2026-01-22 14:08:50
152.0,68,177,Deposit,3439298.41,POS,Successful,2025-05-15 09:20:12
153.0,766,310,Withdrawal,316006.46,,Failed,2025-09-04 17:47:00
154.0,230,128,Deposit,375672.52,MOBILE BANKING,Successful,2025-03-10 13:38:10
155.0,413,286,Withdrawal,2217328.41,ATM,Failed,2024-11-04 01:31:00
156.0,186,164,Transfer,4727907.98,MOBILE BANKING,Successful,2025-08-06 23:36:15
157.0,670,403,,307025.63,MOBILE BANKING,Failed,2025-07-27 22:37:00
158.0,546,242,Deposit,2765670.75,POS,Successful,2024-11-17 11:40:03
159.0,327,14,Deposit,2212086.37,POS,Failed,2025-07-13 07:34:07
160.0,238,587,Deposit,1479250.59,MOBILE BANKING,,2025-01-29 00:08:31
161.0,714,388,Deposit,4932351.04,ATM,Successful,2025-02-08 07:32:27
162.0,710,398,Withdrawal,2479333.99,POS,Successful,2026-03-02 11:40:11
163.0,38,481,Deposit,1617448.77,ATM,Failed,2024-08-26 20:48:32
164.0,705,141,Transfer,4004358.26,,Successful,2025-06-06 19:01:30
165.0,504,189,Deposit,4939207.84,POS,Failed,2025-07-24 10:07:36
166.0,304,357,Deposit,2879542.37,ATM,,2025-12-15 08:17:04
167.0,120,383,,721551.71,ATM,Failed,2025-05-21 21:14:51
168.0,528,424,Withdrawal,3204853.44,POS,Failed,2025-05-12 01:37:00
169.0,695,575,Withdrawal,1259712.18,ATM,Successful,2024-11-02 10:10:04
170.0,329,204,Transfer,1300065.64,MOBILE BANKING,Successful,2024-07-13 01:14:30
171.0,663,317,Withdrawal,48041.66,MOBILE BANKING,Successful,2024-08-21 14:32:02
172.0,120,377,Withdrawal,580175.23,ATM,,2025-02-08 10:50:17
173.0,593,457,Transfer,1511234.32,,Successful,2026-02-22 19:45:34
174.0,638,269,,891583.9,POS,Failed,2025-04-21 10:25:18
175.0,251,265,,3442524.74,ATM,Successful,2025-07-13 07:17:26
176.0,35,202,,1175755.11,,,2026-01-14 06:34:12
177.0,511,383,Deposit,945478.8,ATM,,2024-05-16 19:56:57
178.0,488,193,Deposit,3549391.89,ATM,Successful,2024-06-28 20:41:56
179.0,121,498,Deposit,2555878.78,ATM,Successful,2024-07-01 02:15:37
180.0,153,386,Deposit,1503127.64,,Failed,2026-03-23 20:12:49
181.0,491,347,Transfer,1020121.02,MOBILE BANKING,Successful,2026-03-22 08:31:10
182.0,501,206,Deposit,2719885.28,ATM,,2025-11-12 14:23:56
183.0,768,230,,3818185.6,MOBILE BANKING,Successful,2025-12-10 12:46:40
184.0,573,326,Withdrawal,3417025.79,POS,Successful,2025-01-15 07:49:55
185.0,45,305,Transfer,4023895.04,POS,,2026-03-08 13:25:02
186.0,351,309,,4150380.05,ATM,,2025-03-21 01:07:26
187.0,210,353,,2113873.79,ATM,Successful,2025-05-04 22:21:40
188.0,746,45,,614595.7,,,2025-06-10 01:17:05
189.0,610,260,Withdrawal,4578643.01,POS,Failed,2025-05-12 09:01:52
190.0,278,140,Transfer,4973990.68,ATM,Successful,2026-03-25 00:01:09
191.0,652,598,Withdrawal,638481.45,POS,Failed,2025-08-31 02:29:03
192.0,4,446,Transfer,3480914.88,,Successful,2025-12-04 08:10:12
193.0,599,44,Transfer,3470929.73,POS,,2024-07-14 20:12:59
194.0,797,525,Transfer,4006193.46,ATM,,2024-10-15 08:46:15
195.0,88,245,Deposit,2288060.37,MOBILE BANKING,Successful,2025-03-05 08:34:47
196.0,524,548,,899307.9,,Successful,2024-06-05 02:51:29
197.0,95,337,Deposit,1552126.28,ATM,Successful,2025-03-17 23:45:08
198.0,36,95,Transfer,2411476.47,ATM,,2024-12-17 02:49:56
199.0,747,212,Deposit,2765315.03,,,2025-09-22 02:10:24
200.0,172,44,Withdrawal,2769019.17,ATM,Failed,2026-04-26 09:50:20
201.0,122,216,Transfer,515271.78,MOBILE BANKING,Successful,2025-10-24 22:37:42
202.0,664,49,Withdrawal,2935693.37,POS,,2025-08-01 00:35:01
203.0,133,338,Transfer,3133950.39,ATM,,2024-06-29 21:30:44
204.0,532,371,,1943483.3,POS,Failed,2024-05-22 04:26:25
205.0,624,93,Transfer,64987.67,ATM,,2024-10-29 00:45:55
206.0,180,123,Withdrawal,165259.85,,Successful,2025-02-20 10:01:38
207.0,53,293,Transfer,3361316.92,ATM,Successful,2025-04-10 13:59:13
208.0,247,460,Withdrawal,4124236.03,POS,,2024-06-06 23:05:30
209.0,240,191,Withdrawal,554130.47,,,2024-09-08 08:07:20
210.0,62,435,Deposit,324375.31,POS,,2026-04-22 03:20:30
211.0,784,134,Deposit,3473540.48,ATM,,2024-12-09 17:22:10
212.0,516,125,,1129255.75,MOBILE BANKING,Successful,2025-12-07 00:31:05
213.0,333,93,Transfer,3051943.34,ATM,Failed,2025-10-18 20:58:42
214.0,745,67,Withdrawal,4357737.34,ATM,Successful,2025-05-10 13:19:37
215.0,639,180,,1699743.54,ATM,,2024-06-01 22:39:52
216.0,574,211,Deposit,4315634.36,,Successful,2026-01-20 14:12:26
217.0,528,274,Withdrawal,4559053.44,MOBILE BANKING,,2025-08-13 09:12:00
218.0,160,301,Withdrawal,3500006.11,ATM,Successful,2026-01-02 10:02:24
219.0,455,135,Deposit,3620375.64,ATM,,2024-05-19 03:11:10
220.0,313,414,Transfer,4903408.0,ATM,Failed,2024-08-02 06:34:02
221.0,436,257,Deposit,4888649.41,,Failed,2024-07-28 10:06:07
222.0,391,279,Deposit,625218.37,MOBILE BANKING,,2025-11-20 19:36:48
223.0,612,212,Deposit,868951.82,MOBILE BANKING,Failed,2024-07-02 08:40:55
,728,444,Deposit,326102.32,MOBILE BANKING,Successful,2025-02-24 13:33:17
225.0,304,564,Transfer,1620555.41,ATM,Failed,2026-01-14 03:30:11
226.0,355,56,,3262675.82,ATM,Successful,2024-12-20 15:06:45
227.0,580,265,,372231.78,,,2025-05-01 03:37:27
228.0,501,558,Withdrawal,2261016.06,MOBILE BANKING,Failed,2025-12-31 05:22:40
229.0,786,121,Transfer,3258382.46,MOBILE BANKING,Failed,2025-04-01 11:30:42
230.0,765,204,,3207606.1,MOBILE BANKING,Failed,2024-06-15 06:29:45
231.0,625,89,Deposit,4923610.88,ATM,Successful,2026-02-16 04:38:49
232.0,359,589,Deposit,3264462.87,MOBILE BANKING,Failed,2025-03-27 14:49:34
233.0,169,529,,1462131.4,,Successful,2026-02-20 00:16:11
234.0,32,248,Withdrawal,2559309.13,POS,Successful,2024-08-31 10:54:45
235.0,745,430,,2330967.51,ATM,Failed,2025-06-24 14:31:37
236.0,19,326,Deposit,108852.39,ATM,Successful,2024-10-01 16:04:38
237.0,302,112,,3425835.22,POS,Successful,2024-06-24 14:08:57
238.0,303,327,Deposit,651647.1,ATM,,2025-06-13 06:49:58
239.0,130,311,Transfer,660310.25,MOBILE BANKING,Successful,2025-08-01 02:51:05
240.0,90,542,Withdrawal,3022487.84,POS,Successful,2025-05-15 07:09:17
241.0,549,568,,4336086.66,,Failed,2024-07-10 19:46:58
242.0,156,337,Withdrawal,4317515.91,ATM,Successful,2025-11-13 19:15:25
243.0,723,432,Withdrawal,1572932.66,ATM,Failed,2026-03-12 12:52:24
244.0,381,356,Withdrawal,3250238.39,POS,,2024-08-22 00:34:18
245.0,45,348,Withdrawal,1592374.68,,Successful,2025-10-01 19:45:27
246.0,57,362,,2006536.93,MOBILE BANKING,Failed,2024-12-01 23:25:31
247.0,142,73,Withdrawal,3134629.33,ATM,,2025-06-16 15:50:47
248.0,542,290,,4583174.12,ATM,,2026-03-25 14:42:40
249.0,552,93,Deposit,4597573.59,ATM,Successful,2024-05-16 01:59:43
250.0,453,2,Deposit,239552.91,ATM,Successful,2024-07-23 12:49:24
251.0,157,387,,4398190.92,ATM,Successful,2024-09-09 17:36:15
252.0,778,590,Transfer,4841463.1,MOBILE BANKING,Successful,2026-01-11 23:04:46
253.0,238,324,Withdrawal,2785990.29,POS,Successful,2024-08-27 16:52:43
254.0,130,462,Deposit,2804932.0,,Failed,2024-06-10 18:58:57
255.0,8,502,,4246337.04,ATM,Successful,2025-06-04 05:32:48
256.0,732,408,Withdrawal,2825726.54,ATM,,2025-03-26 21:50:19
257.0,127,481,Deposit,424033.79,POS,Failed,2024-10-07 01:42:37
258.0,671,459,Deposit,2212522.86,,,2025-11-24 02:33:55
259.0,544,553,Withdrawal,2421857.23,ATM,,2025-05-02 04:18:09
260.0,127,522,Withdrawal,3555594.32,,,2025-02-04 06:56:39
261.0,683,214,Deposit,1092587.66,ATM,Failed,2025-06-28 06:08:42
262.0,281,294,Deposit,56273.59,POS,Failed,2025-06-01 00:38:11
263.0,575,399,,3632226.99,,Successful,2025-02-05 07:53:55
264.0,476,293,Transfer,181252.04,POS,Failed,2025-10-02 18:51:00
265.0,520,29,Transfer,4336404.69,ATM,Failed,2025-06-18 13:10:45
266.0,626,114,Withdrawal,11405.21,MOBILE BANKING,Failed,2024-12-19 17:06:36
267.0,770,116,Withdrawal,1637917.21,MOBILE BANKING,Failed,2025-06-10 15:03:47
268.0,24,65,Transfer,2705436.45,MOBILE BANKING,Successful,2025-07-25 14:55:21
269.0,107,3,Withdrawal,1062720.76,POS,Failed,2024-09-11 02:40:12
270.0,260,548,Deposit,356674.38,,Failed,2025-06-11 04:14:49
271.0,657,370,Deposit,2879340.37,POS,Failed,2024-10-08 04:05:37
272.0,776,19,Withdrawal,2070245.42,MOBILE BANKING,Failed,2025-04-26 02:36:24
,51,596,Deposit,1167839.87,,,2024-06-29 22:24:18
274.0,347,74,,3476609.14,MOBILE BANKING,Successful,2025-12-08 13:04:16
275.0,80,470,Transfer,3968867.26,ATM,Failed,2025-02-21 06:23:30
276.0,349,486,Withdrawal,2032708.81,,Successful,2025-02-26 17:24:20
277.0,26,556,,4282472.0,ATM,Successful,2024-10-22 13:15:42
278.0,450,352,Deposit,2029594.86,,Failed,2025-02-21 08:24:33
279.0,3,95,,641927.83,MOBILE BANKING,,2026-02-25 04:26:11
280.0,696,179,Deposit,4922204.76,ATM,Failed,2024-10-25 07:49:00
281.0,62,442,Withdrawal,1170476.77,,Successful,2026-04-13 13:17:55
282.0,215,77,Deposit,520453.56,ATM,Successful,2025-05-14 11:06:06
283.0,116,333,Transfer,1565610.11,POS,Successful,2025-03-06 11:47:34
284.0,483,162,Withdrawal,1889716.24,POS,Successful,2024-07-11 05:21:06
285.0,696,100,Transfer,2796799.71,POS,Successful,2025-06-16 18:16:18
286.0,247,380,Deposit,401470.49,POS,,2025-12-08 09:52:25
287.0,387,141,,4321829.81,POS,Successful,2025-09-22 14:01:21
288.0,295,564,Deposit,4480312.84,,Successful,2025-12-03 17:06:42
289.0,229,243,Deposit,2217622.94,POS,,2024-12-05 02:35:01
290.0,668,147,Deposit,1123467.84,MOBILE BANKING,Successful,2025-01-28 09:23:36
291.0,121,488,Deposit,3719130.46,POS,Successful,2026-01-11 00:21:53
292.0,594,38,,2146854.23,ATM,Successful,2025-03-12 05:09:38
293.0,353,424,Withdrawal,4798891.45,MOBILE BANKING,Successful,2025-07-22 18:24:17
294.0,270,207,Deposit,4706122.73,MOBILE BANKING,Successful,2026-04-23 22:55:51
295.0,307,15,,3530497.51,ATM,Successful,2026-02-18 11:39:42
296.0,400,537,Transfer,3725449.33,MOBILE BANKING,Successful,2025-02-15 15:45:18
297.0,754,463,Deposit,2931119.94,ATM,,2025-09-16 08:57:35
298.0,274,545,Transfer,79334.26,MOBILE BANKING,Failed,2024-07-13 15:26:54
,790,75,Transfer,4070021.13,ATM,,2025-12-06 03:14:12
300.0,744,492,Deposit,3954535.62,ATM,Failed,2025-05-16 10:07:36
,96,545,,4779317.64,POS,Successful,2024-12-06 13:58:56
302.0,333,2,,2063330.39,,Successful,2026-01-03 04:10:07
303.0,794,9,Deposit,864555.68,ATM,Successful,2025-02-18 12:24:19
304.0,350,401,Deposit,1715884.02,ATM,,2025-08-30 00:15:38
305.0,312,533,Deposit,3831316.18,MOBILE BANKING,,2025-07-21 12:23:19
306.0,462,238,Withdrawal,186105.9,MOBILE BANKING,,2024-09-08 11:25:49
307.0,418,581,Transfer,365648.49,ATM,Successful,2025-02-06 16:25:14
308.0,127,498,Deposit,4316833.97,ATM,Successful,2025-01-07 02:12:42
309.0,740,129,,2636890.31,,,2025-09-29 20:46:46
310.0,276,354,Deposit,3202862.31,MOBILE BANKING,,2026-03-17 14:40:03
311.0,177,460,Withdrawal,4811264.76,POS,Successful,2024-06-10 04:18:40
312.0,224,554,Deposit,2398561.98,,Failed,2025-03-12 11:35:39
313.0,752,556,Deposit,349044.25,ATM,Successful,2026-03-01 22:01:10
314.0,165,507,Deposit,10710.4,MOBILE BANKING,Failed,2026-03-10 15:25:03
315.0,211,496,Deposit,4068415.79,ATM,Failed,2024-06-27 11:09:52
316.0,270,369,Withdrawal,1606847.37,ATM,Failed,2024-05-16 15:27:26
317.0,505,3,Deposit,382824.26,POS,,2024-12-01 08:19:51
318.0,496,140,Deposit,4713674.19,POS,Successful,2024-12-23 01:24:28
,189,555,Deposit,3134862.85,,,2025-02-03 02:52:00
320.0,674,17,Deposit,4184563.93,MOBILE BANKING,Successful,2024-09-12 03:26:12
321.0,119,176,Transfer,1718199.49,ATM,,2025-03-19 04:53:44
322.0,203,267,Transfer,2862330.27,POS,Successful,2024-06-30 16:31:46
323.0,421,103,Transfer,3979124.45,ATM,Successful,2026-01-05 02:42:46
324.0,285,154,Deposit,2613897.54,ATM,,2024-10-10 23:30:35
325.0,174,212,Deposit,908019.75,POS,Successful,2026-04-03 21:32:04
326.0,711,327,Deposit,4886853.91,ATM,Successful,2025-06-14 02:34:56
327.0,97,589,,4792910.71,ATM,Successful,2024-11-11 06:07:49
328.0,247,432,,4817417.14,MOBILE BANKING,,2025-06-18 11:33:15
329.0,574,554,Deposit,3843201.89,,Successful,2025-10-29 12:25:48
330.0,779,210,Deposit,805540.09,POS,,2025-06-21 13:41:59
331.0,442,481,Deposit,3673194.97,ATM,,2024-12-01 01:12:40
332.0,423,275,Withdrawal,4948113.56,POS,Failed,2025-11-19 03:48:39
333.0,508,45,Transfer,2477469.51,,Successful,2024-07-10 12:48:44
334.0,168,546,Withdrawal,1479561.7,POS,,2026-01-12 21:37:58
335.0,176,450,Transfer,4851060.09,POS,Failed,2024-05-17 17:11:26
336.0,398,137,Transfer,72407.25,,Successful,2026-01-20 11:18:17
337.0,289,154,Withdrawal,3890565.16,MOBILE BANKING,,2026-02-17 07:45:28
338.0,6,153,Deposit,4829828.48,MOBILE BANKING,Successful,2024-12-24 16:20:43
339.0,395,134,,2184887.92,,Successful,2025-04-16 18:04:47
340.0,609,242,Withdrawal,3444158.49,ATM,Successful,2025-01-05 12:00:40
341.0,316,383,Transfer,3207773.05,MOBILE BANKING,,2026-03-05 15:25:14
342.0,378,207,Withdrawal,2572790.44,ATM,Successful,2024-08-17 16:31:16
343.0,183,499,,560191.7,ATM,,2025-08-31 23:48:02
344.0,77,425,,3910960.36,MOBILE BANKING,Successful,2025-11-15 04:49:19
345.0,103,366,Transfer,4067237.62,POS,Successful,2025-09-12 16:45:01
346.0,490,378,Withdrawal,4256751.74,POS,Successful,2025-12-20 16:20:17
347.0,168,207,,2476681.96,,Successful,2025-12-25 13:53:02
348.0,273,480,Deposit,521264.89,MOBILE BANKING,Successful,2024-05-24 15:51:01
349.0,625,292,Deposit,4768154.67,,Successful,2024-10-11 17:09:55
350.0,652,169,Deposit,3215187.52,,,2025-05-26 05:43:12
351.0,10,145,Deposit,3584654.02,,Failed,2025-12-17 01:39:44
352.0,53,326,Transfer,326031.6,POS,Failed,2026-04-25 17:17:15
353.0,263,117,Deposit,1218337.99,ATM,,2025-12-25 14:26:10
354.0,322,468,Withdrawal,2578289.63,ATM,Successful,2025-05-03 17:20:27
355.0,413,13,,2405378.55,ATM,Successful,2024-08-16 16:22:59
356.0,165,229,Deposit,1122375.06,ATM,Failed,2025-01-12 15:00:42
